package,severity,cvss_score,is_direct,vulnerable_range,fix_version,fix_is_breaking,advisory_count,titles,cwes,advisory_urls,affects
mongoose,critical,10,yes,<=6.13.9,9.10.1,yes,7,automattic/mongoose vulnerable to Prototype pollution via Schema.path | Mongoose Prototype Pollution vulnerability | Mongoose Vulnerable to Prototype Pollution in Schema Object | Mongoose search injection vulnerability | Mongoose search injection vulnerability | Mongoose's Improper Sanitization of $nor in sanitizeFilter May Allow NoSQL Injection | Mongoose: Prototype pollution in mongoose update casting via __proto__-prefixed dotted path (Schema._getSchema/path getter),CWE-1321 CWE-74 CWE-89 CWE-94,https://github.com/advisories/GHSA-f825-f98c-gj3g https://github.com/advisories/GHSA-9m93-w8w6-76hh https://github.com/advisories/GHSA-h8hf-x3f4-xwgp https://github.com/advisories/GHSA-m7xq-9374-9rvx https://github.com/advisories/GHSA-vg7j-7cwx-8wgw https://github.com/advisories/GHSA-wpg9-53fq-2r8h https://github.com/advisories/GHSA-664h-wqgq-64gw,
bson,critical,9.8,no,<=1.1.3,9.10.1,yes,2,Deserialization of Untrusted Data in bson | Deserialization of Untrusted Data in bson,CWE-502,https://github.com/advisories/GHSA-4jwp-vfvf-657p https://github.com/advisories/GHSA-v8w9-2789-6hhr,mongodb-core mongoose
minimist,critical,9.8,no,<=0.2.3,12.0.2,yes,2,Prototype Pollution in minimist | Prototype Pollution in minimist,CWE-1321,https://github.com/advisories/GHSA-vh95-rmgr-6w4m https://github.com/advisories/GHSA-xvch-5gv4-984h,mkdirp
lodash,critical,9.1,yes,<=4.17.23,4.18.1,no,9,Command Injection in lodash | Prototype Pollution in lodash | Prototype Pollution in lodash | Prototype Pollution in lodash | Regular Expression Denial of Service (ReDoS) in lodash | Regular Expression Denial of Service (ReDoS) in lodash | lodash vulnerable to Code Injection via `_.template` imports key names | lodash vulnerable to Prototype Pollution via array path bypass in `_.unset` and `_.omit` | Lodash has Prototype Pollution Vulnerability in `_.unset` and `_.omit` functions,CWE-1321 CWE-1333 CWE-20 CWE-400 CWE-77 CWE-770 CWE-94,https://github.com/advisories/GHSA-35jh-r3h4-6jhm https://github.com/advisories/GHSA-4xc9-xhrj-v574 https://github.com/advisories/GHSA-jf85-cpcp-j695 https://github.com/advisories/GHSA-p6mc-m468-83gw https://github.com/advisories/GHSA-29mw-wpgm-hmr9 https://github.com/advisories/GHSA-x5rq-j2xg-h7qm https://github.com/advisories/GHSA-r5fr-rjxr-66jc https://github.com/advisories/GHSA-f23m-r3pf-42rh https://github.com/advisories/GHSA-xxjr-mmjv-4gpg,
mocha,critical,,yes,0.14.0 - 7.2.0,12.0.2,yes,0,,,,via:diff via:mkdirp
mkdirp,critical,,no,0.4.1 - 0.5.1,12.0.2,yes,0,,,,mocha via:minimist
mongodb,critical,0,no,<=3.1.12,9.10.1,yes,1,Denial of Service in mongodb,,https://github.com/advisories/GHSA-mh5c-679w-hh4r,mongoose
mongodb-core,critical,,no,<=3.1.1,9.10.1,yes,0,,,,mongodb via:bson
jsonwebtoken,high,8.1,yes,<=8.5.1,9.0.3,yes,3,jsonwebtoken unrestricted key type could lead to legacy keys usage  | jsonwebtoken's insecure implementation of key retrieval function could lead to Forgeable Public/Private Tokens from RSA to HMAC | jsonwebtoken vulnerable to signature validation bypass due to insecure default algorithm in jwt.verify(),CWE-1259 CWE-287 CWE-327 CWE-347,https://github.com/advisories/GHSA-8cf7-32gw-wr33 https://github.com/advisories/GHSA-hjrf-2m68-5959 https://github.com/advisories/GHSA-qwph-4952-7xr6,
async,high,7.8,no,2.0.0 - 2.6.3,9.10.1,yes,1,Prototype Pollution in async,CWE-1321,https://github.com/advisories/GHSA-fwr7-v2mv-hh25,mongoose
debug,high,7.5,no,<=2.6.8,4.22.3,no,2,debug Inefficient Regular Expression Complexity vulnerability | Regular Expression Denial of Service in debug,CWE-1333 CWE-400,https://github.com/advisories/GHSA-9vvw-cc9w-f27h https://github.com/advisories/GHSA-gxpj-cx7g-858c,express send
fresh,high,7.5,no,<0.5.2,4.22.3,no,1,Regular Expression Denial of Service in fresh,CWE-400,https://github.com/advisories/GHSA-9qj9-36jm-prpv,express send
mime,high,7.5,no,<1.4.1,4.22.3,no,1,mime Regular Expression Denial of Service when MIME lookup performed on untrusted user input,CWE-400,https://github.com/advisories/GHSA-wrvr-8mpx-r7pp,send
path-to-regexp,high,7.5,no,<=0.1.12,4.22.3,no,3,path-to-regexp outputs backtracking regular expressions | path-to-regexp contains a ReDoS | path-to-regexp vulnerable to Regular Expression Denial of Service via multiple route parameters,CWE-1333,https://github.com/advisories/GHSA-9wv6-86v2-598j https://github.com/advisories/GHSA-rhx6-c78j-4q9w https://github.com/advisories/GHSA-37ch-88jc-xwx2,express
qs,high,7.5,no,<=6.15.3,4.22.3,no,4,Prototype Pollution Protection Bypass in qs | qs vulnerable to Prototype Pollution | qs's arrayLimit bypass in its bracket notation allows DoS via memory exhaustion | qs: Denial of Service via Attacker Controlled isBuffer,CWE-1321 CWE-20 CWE-248 CWE-703,https://github.com/advisories/GHSA-gqgv-6jq5-jjj9 https://github.com/advisories/GHSA-hrpp-h998-j3pp https://github.com/advisories/GHSA-6rw7-vpxm-498p https://github.com/advisories/GHSA-4mjr-xmp4-gh2g,express
express,high,6.1,yes,<=4.21.0 || 5.0.0-alpha.1 - 5.0.0,4.22.3,no,2,express vulnerable to XSS via response.redirect() | Express.js Open Redirect in malformed URLs,CWE-1286 CWE-601 CWE-79,https://github.com/advisories/GHSA-qw6h-vgh9-j6wx https://github.com/advisories/GHSA-rv95-896h-c2vc,
send,high,5,no,<=0.18.0,4.22.3,no,1,send vulnerable to template injection that can lead to XSS,CWE-79,https://github.com/advisories/GHSA-m6fv-jmcg-4jfg,express serve-static
mpath,moderate,5.6,no,<0.8.4,9.10.1,yes,1,Type confusion in mpath,CWE-843,https://github.com/advisories/GHSA-p92x-r36w-9395,mongoose
mquery,moderate,5.3,no,<3.2.3,9.10.1,yes,1,Code Injection in mquery,CWE-94,https://github.com/advisories/GHSA-45q2-34rf-mr94,mongoose
ms,moderate,5.3,no,<2.0.0,4.22.3,no,1,Vercel ms Inefficient Regular Expression Complexity vulnerability,CWE-1333,https://github.com/advisories/GHSA-w9mr-4mfr-499f,debug send
serve-static,low,5,no,<=1.16.0,,no,1,serve-static vulnerable to template injection that can lead to XSS,CWE-79,https://github.com/advisories/GHSA-cm22-4g7w-348p,
cookie,low,0,no,<0.7.0,4.22.3,no,1,"cookie accepts cookie name, path, and domain with out of bounds characters",CWE-74,https://github.com/advisories/GHSA-pxg6-pf52-xh8x,express
diff,low,0,no,<3.5.1,12.0.2,yes,1,jsdiff has a Denial of Service vulnerability in parsePatch and applyPatch,CWE-1333 CWE-400,https://github.com/advisories/GHSA-73rr-hh4g-fpgx,mocha
